Obj1,Obj2
0.761,51.566
0.648,59.566
0.761,51.566
0.76,52.128
0.727,57.338
0.692,59.008
0.683,59.223
0.715,58.097
0.708,58.442
0.702,58.687
0.74,56.194
0.754,54.013
0.719,57.85
0.752,54.43
0.699,58.78
0.757,53.191
0.694,58.948
0.746,55.428
0.758,52.919
0.655,59.552
0.756,53.581
0.75,54.814
0.744,55.694
0.748,55.1
0.67,59.434
0.73,57.139
0.722,57.69
0.759,52.618
0.736,56.612
0.722,57.69
0.651,59.563
0.734,56.727
0.66,59.523
0.673,59.389
0.711,58.314
0.711,58.314
0.736,56.612
0.663,59.506
0.742,55.976
0.759,52.618
0.741,56.048
0.755,53.726
0.68,59.282
0.677,59.323
0.731,57.043
0.666,59.475
0.751,54.673
0.747,55.187
0.681,59.263
0.675,59.351
